frame_index,timestamp,brand_name,box_coordinates
13,13.0,AIRPLANE,"(242, 483, 867, 708)"
17,17.0,TBaN,"(94, 230, 143, 267)"
18,18.0,MCClUIEI,"(638, 327, 751, 378)"
22,22.0,lidZa,"(136, 56, 226, 112)"
23,23.0,EMAAR,"(644, 265, 735, 304)"
24,24.0,CECRAA,"(625, 157, 718, 197)"
25,25.0,CECRAA,"(561, 167, 654, 207)"
26,26.0,CECRAA,"(490, 179, 584, 219)"
29,29.0,IELL,"(889, 285, 961, 319)"
30,30.0,OELL,"(881, 285, 952, 319)"
31,31.0,GL`DS,"(1073, 323, 1132, 358)"
32,32.0,GIORGOARMAN,"(1184, 107, 1280, 180)"
38,38.0,Carlier,"(268, 522, 355, 569)"
39,39.0,THE LOFT,"(46, 218, 160, 273)"
41,41.0,STEILAMCCIRTNEY,"(113, 191, 270, 250)"
45,45.0,BOTTEGA,"(937, 240, 1024, 278)"
47,47.0,KASHKHA-UOiB,"(396, 187, 628, 274)"
51,51.0,EMAAR,"(678, 61, 810, 133)"
52,52.0,EMAAR,"(674, 24, 802, 96)"
84,84.0,LOTISVuITTON,"(448, 171, 693, 221)"
85,85.0,LOTISVuITTON,"(176, 161, 240, 229)"
88,88.0,SUBSCRIBED,"(557, 639, 722, 686)"
89,89.0,CELINE,"(102, 231, 154, 268)"
90,90.0,BHYPE,"(924, 45, 982, 79)"
91,91.0,SUBSCRIBED,"(553, 642, 726, 686)"
92,92.0,SUBSCRIBED,"(551, 640, 727, 686)"
93,93.0,BALENCIAGA,"(398, 222, 479, 255)"
94,94.0,BHYPE,"(994, 17, 1055, 50)"
95,95.0,CELINE,"(27, 220, 89, 255)"
96,96.0,BHYPE,"(927, 40, 986, 75)"
97,97.0,BHYPE,"(686, 67, 741, 101)"
98,98.0,FENDI,"(1201, 248, 1267, 286)"
99,99.0,BHPE,"(193, 57, 259, 91)"
100,100.0,BHYPE,"(0, 14, 56, 53)"
101,101.0,FENDI,"(754, 237, 809, 274)"
102,102.0,CHANEL,"(1156, 186, 1229, 227)"
103,103.0,FENDI,"(493, 243, 552, 280)"
104,104.0,CHANEL,"(674, 222, 743, 259)"
105,105.0,FENDI,"(44, 94, 112, 136)"
106,106.0,CHANEL,"(225, 240, 296, 275)"
107,107.0,CHANEL,"(172, 249, 241, 284)"
108,108.0,CHANEL,"(201, 40, 271, 80)"
109,109.0,CHANEL,"(152, 228, 228, 266)"
111,111.0,CHANEL,"(256, 214, 331, 252)"
112,112.0,CHANEL,"(517, 174, 600, 220)"
113,113.0,CHANEL,"(280, 197, 353, 236)"
114,114.0,CHANEL,"(563, 142, 651, 194)"
115,115.0,CHANEL,"(462, 184, 540, 225)"
116,116.0,FENDI,"(301, 12, 370, 55)"
117,117.0,CHANEL,"(702, 163, 783, 209)"
118,118.0,IDIOR,"(20, 49, 75, 83)"
119,119.0,IDIOR,"(190, 51, 241, 86)"
120,120.0,FENDI,"(725, 165, 799, 213)"
121,121.0,IDIOR,"(371, 51, 420, 86)"
122,122.0,IDIOR,"(375, 48, 424, 83)"
123,123.0,FREDI,"(837, 568, 910, 627)"
124,124.0,IDIOR,"(537, 230, 599, 269)"
125,125.0,IDIOR,"(776, 217, 843, 259)"
126,126.0,DIOK,"(982, 27, 1036, 68)"
127,127.0,DIOk,"(1122, 0, 1181, 28)"
128,128.0,IDIOR,"(1086, 170, 1160, 211)"
129,129.0,IDIOR,"(1068, 148, 1148, 197)"
130,130.0,IDIOR,"(638, 186, 704, 228)"
131,131.0,Van Cleef &Arpels,"(758, 120, 927, 189)"
132,132.0,Van Cleef &Arpels,"(581, 113, 746, 178)"
