frame_index,timestamp,brand_name,box_coordinates
1,1.0,BOSS,"(975, 515, 1047, 562)"
2,2.0,BOSS,"(1419, 144, 1535, 208)"
3,3.0,BOSS,"(388, 441, 467, 491)"
4,4.0,Fenwick,"(1685, 328, 1772, 372)"
6,6.0,DIOR,"(413, 389, 506, 444)"
7,7.0,DIOR,"(384, 395, 473, 451)"
8,8.0,LONGCHAMP,"(930, 419, 1124, 483)"
16,16.0,HZEVTINO,"(570, 500, 686, 602)"
17,17.0,IALEATINO,"(608, 401, 710, 511)"
20,20.0,LOUIS VUITTON,"(228, 455, 361, 519)"
21,21.0,LOUIS VUITTON,"(227, 448, 368, 512)"
23,23.0,LOUIS VUITTON,"(563, 465, 703, 532)"
24,24.0,PRADA,"(833, 690, 910, 732)"
25,25.0,PRADA,"(1614, 705, 1745, 754)"
26,26.0,MaxMara,"(214, 522, 301, 576)"
27,27.0,AlexanderMcQUEEN,"(901, 289, 1008, 437)"
28,28.0,VOEEN AlexanderMcQUEEN,"(724, 236, 818, 379)"
29,29.0,LG20TDX,"(1394, 980, 1495, 1030)"
30,30.0,COPERAEALLERY,"(485, 272, 642, 354)"
31,31.0,COPERAEALLERY,"(346, 222, 515, 307)"
32,32.0,COPERAEALLERY,"(211, 175, 405, 271)"
33,33.0,COPERAEALLERY,"(0, 115, 212, 213)"
34,34.0,COPERAEALLERY,"(832, 0, 1393, 83)"
35,35.0,LLOMEGA!,"(846, 245, 1011, 380)"
36,36.0,LLOMEGA!,"(935, 137, 1099, 284)"
37,37.0,LARCER-IECOUIRE,"(623, 229, 714, 309)"
38,38.0,Carlier,"(498, 844, 670, 912)"
39,39.0,Carlier,"(1392, 849, 1517, 911)"
40,40.0,Carlier,"(861, 662, 1006, 731)"
41,41.0,Carlier,"(115, 657, 225, 697)"
42,42.0,Carlier,"(1416, 462, 1537, 521)"
43,43.0,Carlier,"(1351, 402, 1475, 460)"
44,44.0,Carlier,"(1076, 366, 1204, 429)"
45,45.0,VERSACE,"(1466, 430, 1730, 496)"
46,46.0,VERSACE,"(1487, 443, 1732, 507)"
47,47.0,VERSACE,"(1379, 356, 1488, 408)"
48,48.0,BVLGARII,"(729, 161, 1051, 322)"
49,49.0,BVLGARII,"(711, 108, 990, 266)"
50,50.0,BVLGARII,"(1065, 174, 1259, 288)"
51,51.0,BVLGARII,"(990, 140, 1204, 260)"
52,52.0,BVLGARII,"(951, 126, 1168, 250)"
54,54.0,RICHARD GREEN,"(1715, 546, 1786, 588)"
55,55.0,RICHARD GREEN,"(1725, 543, 1846, 591)"
57,57.0,CRAFF,"(1047, 551, 1127, 588)"
58,58.0,"RAE.PH nnig"" lkir","(1767, 3, 1911, 113)"
61,61.0,RICHARD GREEN,"(1301, 280, 1365, 324)"
62,62.0,ORLINSYX,"(559, 188, 729, 294)"
66,66.0,LONGCHAMP,"(1822, 313, 1867, 431)"
67,67.0,LONGCHAMP,"(1807, 546, 1871, 588)"
68,68.0,Dior,"(1604, 237, 1718, 304)"
