frame_index,timestamp,brand_name,box_coordinates
3,3.0,lenSolly,"(435, 32, 839, 231)"
4,4.0,lenSolly,"(0, 0, 337, 113)"
10,10.0,Aethnicity,"(470, 471, 592, 530)"
11,11.0,Aethnicity,"(409, 347, 538, 412)"
16,16.0,gure,"(1189, 297, 1313, 442)"
17,17.0,auee,"(944, 97, 1092, 277)"
21,21.0,CHARLESKEITH,"(167, 877, 347, 939)"
22,22.0,CHARLESKEITH,"(167, 877, 347, 939)"
23,23.0,BARRETT,"(1152, 192, 1245, 242)"
24,24.0,CHARLESKEITH,"(167, 877, 347, 939)"
25,25.0,CHARLESKEITH,"(167, 877, 347, 939)"
26,26.0,cocOroBZ,"(697, 439, 752, 641)"
30,30.0,BIBA,"(599, 471, 740, 534)"
31,31.0,BIBA,"(243, 243, 405, 314)"
34,34.0,FIRE,"(150, 381, 268, 454)"
38,38.0,ETHNC,"(799, 82, 874, 128)"
42,42.0,AWSECURIT,"(588, 240, 679, 292)"
44,44.0,Subscribe,"(839, 397, 1167, 475)"
45,45.0,Subscribe,"(843, 505, 1164, 580)"
46,46.0,SUBSCRIBE,"(1667, 959, 1746, 1007)"
47,47.0,Subscribe,"(843, 564, 1161, 640)"
49,49.0,pantaors,"(1234, 180, 1378, 346)"
58,58.0,VEnBE,"(107, 403, 254, 480)"
74,74.0,Raigriti,"(838, 635, 954, 687)"
76,76.0,Raigriti,"(734, 142, 1123, 440)"
77,77.0,studio,"(1662, 115, 1798, 261)"
78,78.0,Raigriti,"(767, 556, 1003, 646)"
79,79.0,peppetrnu,"(1246, 73, 1436, 250)"
80,80.0,peppetrnu,"(1028, 11, 1277, 246)"
110,110.0,NALMATE,"(814, 449, 922, 509)"
117,117.0,Splash,"(138, 193, 526, 478)"
123,123.0,noir,"(274, 632, 373, 693)"
131,131.0,CHARLESKEITH,"(362, 583, 411, 726)"
134,134.0,SELECTIONS,"(9, 113, 820, 307)"
142,142.0,M=TRO,"(1196, 142, 1340, 813)"
145,145.0,Ipamema,"(1092, 322, 1204, 376)"
146,146.0,Inc.,"(1264, 382, 1352, 440)"
152,152.0,4RUOS,"(260, 4, 346, 54)"
158,158.0,SHENSSIMISY Rasons,"(379, 0, 866, 210)"
166,166.0,OYL.LA,"(357, 261, 631, 359)"
167,167.0,LLLA,"(0, 276, 180, 388)"
168,168.0,OKALPANW,"(701, 828, 883, 1004)"
178,178.0,REVON,"(1121, 852, 1499, 986)"
182,182.0,OKALPANW,"(1095, 317, 1549, 657)"
183,183.0,OKALPANW,"(637, 40, 1264, 487)"
190,190.0,OKALPANW,"(1005, 865, 1247, 1026)"
196,196.0,CHAIPOINT,"(284, 565, 647, 648)"
197,197.0,CHAIPOINT,"(622, 407, 981, 492)"
198,198.0,CHAIPOINT,"(1133, 217, 1502, 308)"
200,200.0,cehaayos,"(53, 58, 383, 207)"
209,209.0,CHARI,"(1756, 739, 1833, 989)"
210,210.0,2-ARDOZL,"(800, 30, 936, 159)"
211,211.0,MISENA,"(1742, 223, 1849, 280)"
212,212.0,2ARDO2Y,"(883, 5, 1088, 194)"
213,213.0,galytz9lil,"(1025, 561, 1126, 607)"
219,219.0,LevTS,"(1573, 500, 1653, 543)"
221,221.0,LevIs,"(1189, 619, 1297, 670)"
225,225.0,MOHANLAL SONS,"(1347, 238, 1666, 329)"
227,227.0,1O2JAJNI,"(942, 248, 1069, 325)"
228,228.0,(G2OAIG,"(311, 293, 459, 351)"
229,229.0,MOHANLAL SONS,"(1247, 252, 1680, 345)"
231,231.0,MOHANLAL SONS,"(939, 294, 1300, 412)"
232,232.0,MOHANLAL SONS SINCE,"(857, 102, 1450, 287)"
233,233.0,SINCE,"(955, 137, 1144, 240)"
234,234.0,SINCE,"(669, 5, 920, 126)"
235,235.0,NCE 1881,"(247, 0, 784, 122)"
236,236.0,NCE 1881,"(0, 55, 603, 290)"
237,237.0,MOHANLAL SONS,"(0, 0, 521, 303)"
238,238.0,BAZAAR,"(207, 305, 867, 648)"
239,239.0,lifestyle,"(1462, 303, 1679, 396)"
240,240.0,lifestyle,"(1091, 320, 1300, 403)"
241,241.0,lifestyle,"(1200, 333, 1430, 424)"
242,242.0,lifestyle,"(1252, 316, 1491, 423)"
245,245.0,RAMAY,"(911, 656, 1206, 741)"
247,247.0,lifestyle,"(24, 403, 451, 561)"
248,248.0,lifestyle,"(0, 399, 462, 593)"
252,252.0,HIDESIGM,"(1479, 684, 1712, 897)"
256,256.0,cehaayos,"(629, 825, 844, 896)"
258,258.0,RAMAY,"(4, 395, 483, 536)"
266,266.0,lifestyle,"(1276, 152, 1425, 244)"
268,268.0,lifestyle,"(1277, 61, 1482, 180)"
272,272.0,lifestyle,"(911, 285, 1154, 452)"
274,274.0,lifestyle,"(1002, 224, 1246, 425)"
275,275.0,lifestyle,"(849, 85, 1148, 340)"
276,276.0,lifestyle,"(0, 0, 379, 216)"
278,278.0,PegoJema,"(768, 644, 881, 696)"
279,279.0,slyle,"(4, 0, 1021, 213)"
283,283.0,lifestyle,"(1393, 629, 1630, 717)"
286,286.0,SUERANYAL,"(759, 511, 1047, 598)"
301,301.0,MOHANLAL SONS,"(219, 47, 332, 107)"
303,303.0,MOHANLAL SONS,"(0, 328, 120, 385)"
307,307.0,MOHANLAL SONS,"(519, 51, 627, 131)"
318,318.0,MOHANLAL SONS,"(548, 0, 762, 232)"
319,319.0,CHARLESKEITH,"(1595, 828, 1680, 1080)"
320,320.0,ROCKN'ROL,"(772, 655, 887, 723)"
321,321.0,/ww.bat SHOP241,"(1115, 459, 1195, 502)"
323,323.0,NOIDA,"(661, 695, 736, 745)"
324,324.0,PRAGUE,"(171, 495, 310, 554)"
326,326.0,WEEKEND,"(377, 330, 696, 446)"
328,328.0,MOODY,"(1061, 770, 1155, 838)"
335,335.0,ww.wforwoman.com,"(848, 783, 986, 829)"
348,348.0,LGTUS,"(1694, 933, 1798, 985)"
360,360.0,globaldesi,"(1800, 192, 1920, 268)"
362,362.0,WATCMES,"(627, 87, 822, 223)"
373,373.0,lenSolly,"(1265, 282, 1400, 367)"
374,374.0,lenSolly,"(818, 173, 963, 264)"
377,377.0,lenSolly,"(1211, 314, 1398, 408)"
378,378.0,lenSolly,"(1613, 628, 1841, 740)"
381,381.0,MOHANLAL SONS,"(347, 53, 779, 141)"
382,382.0,NVHOW,"(0, 0, 396, 76)"
383,383.0,MOHANLAL SONS,"(0, 87, 229, 200)"
385,385.0,NVHC,"(0, 51, 272, 179)"
386,386.0,MOHANLAL SONS,"(0, 0, 398, 167)"
387,387.0,MOHANLAL SONS,"(0, 0, 507, 159)"
389,389.0,MOHANLAL SONS,"(0, 0, 744, 330)"
390,390.0,MOHANLAL SONS,"(571, 0, 1223, 247)"
394,394.0,mustard,"(216, 229, 538, 484)"
395,395.0,SUBSCRIBE,"(1666, 961, 1776, 1005)"
396,396.0,SUBSCRIBE,"(1666, 961, 1777, 1005)"
397,397.0,Subscribe,"(843, 505, 1164, 580)"
398,398.0,Subscribe,"(842, 528, 1163, 604)"
407,407.0,FRESH ARRIVALS,"(1052, 412, 1185, 459)"
408,408.0,FRESH ARRIVALS,"(1259, 359, 1398, 415)"
413,413.0,UEANICE,"(58, 454, 141, 533)"
419,419.0,IPBANYOGA,"(349, 75, 499, 224)"
420,420.0,URBANYOGA,"(212, 162, 347, 293)"
421,421.0,URBANYOGA,"(131, 53, 405, 250)"
422,422.0,URBANYOGA,"(257, 29, 418, 178)"
423,423.0,URBANYOGA,"(463, 0, 667, 119)"
424,424.0,PLAT,"(1170, 740, 1233, 812)"
427,427.0,WSTET,"(635, 359, 711, 408)"
434,434.0,anolsfneg,"(1282, 424, 1508, 494)"
435,435.0,anoisn,"(1290, 376, 1456, 439)"
436,436.0,Den60,"(1437, 355, 1624, 426)"
438,438.0,Raymond,"(522, 2, 1019, 344)"
439,439.0,madeo,"(678, 0, 1695, 271)"
443,443.0,erfry,"(682, 202, 744, 251)"
456,456.0,ziva,"(1227, 268, 1920, 721)"
461,461.0,COVO,"(459, 435, 573, 482)"
483,483.0,holui,"(1700, 528, 1920, 670)"
