frame_index,timestamp,brand_name,box_coordinates
11,11.0,BAIAJIS,"(1437, 144, 1515, 184)"
12,12.0,BAIAJIS,"(1455, 155, 1535, 199)"
13,13.0,BAIAJIS,"(1476, 175, 1557, 218)"
14,14.0,BAIAJIS,"(1493, 178, 1574, 223)"
41,41.0,LAIDUHALD,"(205, 170, 525, 251)"
42,42.0,LAIDUHALD,"(323, 280, 628, 360)"
49,49.0,Travelwithchris,"(133, 965, 462, 1038)"
52,52.0,Travelwithchris,"(131, 963, 466, 1036)"
53,53.0,TK09C82258,"(480, 679, 554, 738)"
54,54.0,Travelwithchris,"(135, 962, 473, 1037)"
61,61.0,POWEROIL?,"(149, 677, 256, 727)"
62,62.0,POWEROIL?,"(366, 646, 470, 691)"
78,78.0,heagarae,"(1821, 611, 1920, 713)"
168,168.0,ARshaya,"(1167, 735, 1287, 787)"
169,169.0,Arahaya,"(1200, 699, 1321, 760)"
170,170.0,ARshaya,"(1299, 712, 1423, 775)"
172,172.0,ARshaya,"(1291, 762, 1425, 840)"
173,173.0,HouseofExrclusive Indi,"(1819, 125, 1920, 171)"
175,175.0,HouseofExrclusive Indi,"(1816, 123, 1920, 169)"
195,195.0,HouseofExrclusive Indi,"(1849, 150, 1920, 193)"
196,196.0,ARshaya,"(1165, 834, 1300, 886)"
204,204.0,Hagwn,"(1299, 703, 1419, 770)"
227,227.0,Jmoege,"(1213, 1028, 1336, 1080)"
239,239.0,CX1283,"(0, 744, 60, 795)"
251,251.0,HouseofExrclusive Indi,"(1839, 98, 1920, 149)"
254,254.0,KANCHI PLAZA,"(1586, 137, 1701, 189)"
258,258.0,NO PARKING,"(1167, 788, 1284, 859)"
260,260.0,S.CROSS,"(1699, 845, 1813, 908)"
270,270.0,BLACKBERRYS DECKER,"(1401, 322, 1482, 372)"
271,271.0,BLACKBERRYS DECKER,"(1271, 321, 1348, 374)"
272,272.0,ATM/C,"(766, 310, 821, 410)"
273,273.0,HOTEL SUIYA,"(1272, 5, 1447, 100)"
274,274.0,unvno,"(1465, 675, 1638, 796)"
276,276.0,Hotel,"(1594, 134, 1708, 187)"
277,277.0,VAIZIER,"(1328, 423, 1378, 564)"
278,278.0,Hotel,"(1295, 159, 1437, 212)"
282,282.0,2L60TL0,"(1090, 472, 1406, 605)"
283,283.0,KANCHI PLAZA,"(167, 0, 695, 84)"
284,284.0,2L6UTLQ,"(980, 465, 1316, 615)"
285,285.0,KANCHI PLAZA,"(1268, 38, 1781, 149)"
286,286.0,KANCHI PLAZA,"(1510, 118, 1920, 219)"
287,287.0,KANCHI PLAZA,"(1569, 114, 1920, 250)"
288,288.0,KANCHI PLAZA,"(1565, 147, 1883, 263)"
289,289.0,KANCHI PLAZA,"(1565, 163, 1777, 266)"
290,290.0,KANCHI PLAZA,"(1558, 198, 1759, 294)"
291,291.0,KANCHI PLAZA,"(1779, 210, 1920, 317)"
295,295.0,KANCHI PLAZA,"(1442, 253, 1793, 368)"
298,298.0,NO PARKING,"(196, 157, 389, 239)"
299,299.0,NO PARKING,"(309, 326, 431, 382)"
305,305.0,Jazz,"(1624, 268, 1831, 396)"
306,306.0,Jazz,"(1520, 283, 1711, 407)"
310,310.0,Kushal's,"(1702, 279, 1920, 381)"
312,312.0,fashion jewellery Kurhol's,"(1560, 291, 1813, 398)"
313,313.0,STLAL,"(647, 423, 744, 475)"
314,314.0,COMPLEX,"(1164, 359, 1415, 438)"
315,315.0,Kushal's fashion jewellery,"(1327, 291, 1533, 386)"
316,316.0,Kushal's fashion jewellery,"(1265, 301, 1468, 399)"
317,317.0,Kushal's fashion jewellery,"(1249, 308, 1455, 400)"
318,318.0,Kushal's,"(1259, 307, 1447, 401)"
319,319.0,Kushal's,"(1241, 324, 1438, 416)"
320,320.0,Kushal's,"(1142, 328, 1364, 428)"
321,321.0,Kushal's fashion jewellery,"(1458, 241, 1698, 358)"
323,323.0,Kushal's fashion jewellery,"(1585, 192, 1847, 312)"
324,324.0,KNNGA,"(1073, 233, 1274, 326)"
325,325.0,Kushal's fashion jewellery,"(939, 219, 1212, 337)"
326,326.0,phyoay SAMBIRANI,"(1172, 793, 1330, 882)"
