frame_index,timestamp,brand_name,box_coordinates
0,0.0,tmdo,"(606, 324, 788, 407)"
1,0.98,Brea Mall,"(660, 417, 1275, 550)"
2,1.97,Brea Mall,"(660, 417, 1275, 549)"
3,2.95,Brea Mall,"(658, 417, 1276, 550)"
4,3.94,OOOLORNAJANE,"(1533, 167, 1593, 419)"
5,4.92,OSIMBREAI,"(1286, 50, 1538, 177)"
6,5.91,OOOLORNAJANE,"(1109, 275, 1348, 357)"
7,6.89,OOOLORNAJANE,"(1058, 235, 1306, 327)"
8,7.87,OOOLORNAJANE,"(1168, 180, 1425, 284)"
10,9.84,D.JD,"(610, 145, 877, 243)"
16,15.75,OSIMBREAI,"(1480, 33, 1748, 162)"
17,16.73,OSIMBREAI,"(1231, 49, 1483, 170)"
18,17.72,OSIMBREAI,"(986, 49, 1231, 159)"
19,18.7,OSIMBREAI,"(867, 19, 1115, 125)"
42,41.34,eunooll,"(1073, 0, 1321, 111)"
44,43.31,KEVI JEWELERS,"(1126, 73, 1307, 200)"
45,44.29,Justice,"(1486, 275, 1587, 324)"
46,45.28,W6R220,"(393, 334, 498, 374)"
49,48.23,Justice,"(888, 323, 981, 371)"
50,49.22,KEVI JEWELERS,"(69, 0, 367, 146)"
55,54.14,HOEF,"(1251, 273, 1340, 320)"
56,55.12,SHOEPALACE,"(1295, 267, 1393, 318)"
57,56.11,DEPAL,"(1303, 260, 1411, 316)"
59,58.07,SHOEPALACE,"(1250, 288, 1374, 341)"
60,59.06,mocs,"(1612, 256, 1791, 349)"
61,60.04,oiooloolo,"(55, 399, 147, 724)"
62,61.03,SHOEPALACE,"(671, 368, 827, 421)"
63,62.01,tmacys,"(992, 272, 1163, 369)"
64,63.0,SHOEPALACE,"(182, 328, 417, 391)"
65,63.98,tmacys,"(807, 231, 994, 336)"
67,65.95,SHOP,"(248, 351, 396, 417)"
68,66.93,SHOP,"(32, 308, 222, 386)"
69,67.92,tmacys,"(581, 80, 814, 229)"
70,68.9,tmacys,"(524, 13, 774, 178)"
73,71.86,SHOEPALACE,"(0, 117, 233, 201)"
76,74.81,SHOEPALACE,"(1142, 109, 1494, 191)"
77,75.79,SHOEPALACE,"(1388, 61, 1900, 172)"
78,76.78,Justice,"(815, 182, 969, 269)"
