                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5221,                 2.0706,                 1.3206,                0.28405,                0.25643,                0.17688,                0.09256,                 1.7093,                 2.4475,                 1.5381,             0.00066487,             0.00066487,             0.00066487
                      2,                 1.6823,                 1.9611,                 1.4477,                0.38022,                0.34756,                0.28506,                0.15826,                 1.6601,                 2.0248,                 1.3879,              0.0011997,              0.0011997,              0.0011997
                      3,                 1.6383,                 1.8818,                  1.411,                0.41795,                0.36098,                0.32029,                0.18652,                 1.5597,                 1.8645,                 1.3943,              0.0016026,              0.0016026,              0.0016026
                      4,                 1.5326,                 1.7328,                 1.3581,                0.49069,                0.39431,                 0.3766,                0.22061,                 1.4852,                 1.7517,                 1.3209,               0.001406,               0.001406,               0.001406
                      5,                 1.4252,                  1.582,                 1.2872,                0.53735,                0.44947,                0.44556,                0.27678,                 1.4012,                 1.5217,                 1.2614,               0.001208,               0.001208,               0.001208
                      6,                 1.3465,                 1.4591,                 1.2431,                0.57084,                0.47967,                0.48413,                0.31214,                 1.2879,                 1.4415,                 1.2056,                0.00101,                0.00101,                0.00101
                      7,                 1.2804,                 1.3696,                 1.2009,                0.60205,                 0.4752,                0.51246,                0.33837,                 1.2539,                 1.3858,                 1.1824,               0.000812,               0.000812,               0.000812
                      8,                 1.2186,                 1.2721,                 1.1656,                0.62411,                0.51829,                0.54825,                0.37114,                 1.1977,                 1.2437,                 1.1473,               0.000614,               0.000614,               0.000614
                      9,                 1.1704,                 1.1984,                 1.1397,                0.65624,                 0.5339,                0.58154,                0.39772,                 1.1426,                 1.1834,                 1.1324,               0.000416,               0.000416,               0.000416
                     10,                 1.1196,                 1.1134,                  1.115,                0.67859,                0.55407,                0.60256,                0.42089,                 1.1012,                 1.1044,                 1.1034,               0.000218,               0.000218,               0.000218
